"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CCRN","Cross Country Healthcare, Inc.","15.29","$492.93M","2001","Technology","Professional Services","http://www.nasdaq.com/symbol/ccrn",
"CRDS","Crossroads Systems, Inc.","1.39","$32.63M","1999","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/crds",
"CRWS","Crown Crafts, Inc.","8.1","$80.7M","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/crws",
"CRWN","Crown Media Holdings, Inc.","5.1","$1.83B","2000","Consumer Services","Television Services","http://www.nasdaq.com/symbol/crwn",
"CYRX","CryoPort, Inc.","2.82","$20.18M","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cyrx",
"CYRXW","CryoPort, Inc.","0.73","n/a","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cyrxw",
"CSGS","CSG Systems International, Inc.","30.4","$993.92M","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/csgs",
"CCLP","CSI Compressco LP","12.46","$413.46M","2011","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cclp",
"CSPI","CSP Inc.","5.46","$20.06M","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/cspi",
"CSWIV","CSW Industrials, Inc.","n/a","n/a","n/a","Basic Industries","Home Furnishings","http://www.nasdaq.com/symbol/cswiv",
"CTCM","CTC Media, Inc.","1.88","$293.48M","2006","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ctcm",
"CTIC","CTI BioPharma Corp.","1.44","$260.15M","1997","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctic",
"CTIB","CTI Industries Corporation","3.82","$12.61M","1997","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/ctib",
"CTRP","Ctrip.com International, Ltd.","66.61","$9.36B","2003","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ctrp",
"CUNB","CU Bancorp (CA)","22.43","$378.9M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cunb",
"CUI","CUI Global, Inc.","5.22","$108.58M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/cui",
"CPIX","Cumberland Pharmaceuticals Inc.","6.01","$99.94M","2009","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cpix",
"CMLS","Cumulus Media Inc.","0.907","$212.03M","1998","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cmls",
